	pred	date	true	H	beta	gamma	omega	lambda
0	2.469704591501706	2018-01-25	2.449279472144849	0.40500079295266556	0.9999998739731033	0.9999999744413675	-0.0018329651610553242	1.519265502691269
1	2.4554435744844443	2018-01-26	2.405141681319138	0.3917172656351911	0.9999998854993846	0.9999999618174069	-0.0022197111973730407	1.52507945895195
2	2.3611529193654377	2018-01-29	2.6275629501895237	0.3919124997875445	0.9999998530420223	0.9999999111807107	-0.0021645927707888857	1.5222716331481934
3	2.833959668661387	2018-01-30	2.6939512767227085	0.3848093587520293	0.9999998637663818	0.9999999730962912	-0.002203189397304798	1.5253282338380814
4	2.7449457857086355	2018-01-31	2.605648267484129	0.3833765220943637	0.9999998095942463	0.9999999426321731	-0.002479457156727819	1.5258132219314575
5	2.517150436063874	2018-02-01	2.6004649904222727	0.4143013343122342	0.9999997689075052	0.9999998365158529	-0.0029096034603892673	1.5266756415367126
6	2.594696255938556	2018-02-02	2.851284369188118	0.42136393832872493	0.9999997535549641	0.9999998476932022	-0.0029972820533716318	1.529156818985939
7	3.0924692133567206	2018-02-05	3.619529375979143	0.4290882422696623	0.9999997957640201	0.9999999327861518	-0.00296273937774744	1.5357073992490768
8	4.3857405370619045	2018-02-06	3.4005304926744517	0.4811610364287361	0.9999997100066951	0.9999999182471836	-0.003232570121368626	1.7567461431026459
9	3.1813831561051313	2018-02-07	3.322514859627687	0.46231880838186296	0.9999997714541418	0.9999998931247288	-0.0028214012506701633	1.759171038866043
10	3.2444993403575833	2018-02-08	3.510350695558678	0.4456184220017652	0.9999997971009466	0.9999999037203011	-0.002611761222465727	1.7571587562561035
11	3.691848194627073	2018-02-09	3.369362658142137	0.42140356175682747	0.9999998171513655	0.9999999869472826	-0.0022981112797046295	1.7568305432796478
12	3.2284031634907384	2018-02-12	3.242982900211434	0.4108914594835091	0.9999998476311526	0.9999999302065312	-0.00217376631677381	1.7518822252750397
13	3.11908101290526	2018-02-13	3.217675104291682	0.38490408473031373	0.9999999209991404	0.9999999720000406	-0.0019613198739946124	1.7486282587051392
14	3.194323794446168	2018-02-14	2.9580304063699794	0.35381937553354137	0.9999998885270378	0.9999999290454282	-0.0017287207948042007	1.7508009374141693
15	2.710371306292297	2018-02-15	2.9512577834521614	0.3840831367024456	0.9999998781351593	0.9999999496569267	-0.0020467285153310186	1.757559210062027
16	2.947968345840569	2018-02-16	2.968361076757859	0.3886935148657743	0.9999998675659079	0.9999998852525397	-0.0019974966664350773	1.7581098675727844
17	2.9856357467189527	2018-02-20	3.0252910757955354	0.37775105733114894	0.999999932979398	0.9999999851637631	-0.0016737535546883543	1.7619317471981049
18	3.0808928181891533	2018-02-21	2.9967317738870745	0.3960046991808574	0.9999998815685458	0.9999999365835343	-0.0018173735503988612	1.7606322169303894
19	2.968376840828528	2018-02-22	2.929592471049446	0.4150867378469005	0.9999999051562926	0.9999999781315858	-0.001964267527721596	1.7619858384132385
20	2.8658290339874877	2018-02-23	2.8027541365715076	0.3830572588757958	0.9999999071155171	0.9999999425842278	-0.001366614258292239	1.7625450789928436
21	2.6855843315280468	2018-02-26	2.760009940032921	0.3804542474828121	0.9999999253636489	0.9999999505956899	-0.0012266164602499241	1.7579728960990906
22	2.725607394169102	2018-02-27	2.922623801733353	0.3793260608149106	0.9999999496825859	0.9999999888852844	-0.0011347021679173758	1.756029725074768
23	3.0837703876234106	2018-02-28	2.9882040071331994	0.36875008924064007	0.9999999678780723	0.9999999740808947	-0.001172059864073578	1.7500378489494324
24	3.0490542344418614	2018-03-01	3.112181086197238	0.3510067912124709	0.9999999135975537	0.999999944029461	-0.0012855909338597767	1.747547060251236
25	3.224031104052857	2018-03-02	2.9750192319564492	0.35992200616779985	0.9999999516155629	0.9999999759782519	-0.0015773990019441013	1.7467901408672333
26	2.8392627689588696	2018-03-05	2.930126516455997	0.3628794079938441	0.9999998991717448	0.9999999381393392	-0.0015055569981138593	1.7407226264476776
27	2.888225226038674	2018-03-06	2.9101743851923443	0.364652122143161	0.9999999453907851	0.9999999819752559	-0.001441487021815414	1.7379546761512756
28	2.8931719369939772	2018-03-07	2.876948737564024	0.3678176039241719	0.9999999359248599	0.9999999835010446	-0.001081491680850392	1.7420091032981873
29	2.8480979558625266	2018-03-08	2.805781689595545	0.3699148696714738	0.9999999294198095	0.9999999963001514	-0.00118164886833324	1.741700828075409
