,pred_1,pred_2,Date,log_vix,log_vix_true
0,4.41511943929019,4.41513209918607,2020-03-16,4.415098675734075,4.3295484280286765
1,4.3295576969268,4.32956593819318,2020-03-17,4.3295484280286765,4.336636932375072
2,4.33664551916983,4.33665292602098,2020-03-18,4.336636932375072,4.276666119016055
3,4.2648452207639,4.26826586421103,2020-03-19,4.276666119016055,4.190260619051927
4,4.19889249243759,4.18841897315716,2020-03-20,4.190260619051927,4.120499519698952
5,4.10907935704469,4.08663127797378,2020-03-23,4.120499519698952,4.1217975890034015
6,4.10112076609319,4.08783508175564,2020-03-24,4.1217975890034015,4.158101528024852
7,4.13734290303578,4.12965985739727,2020-03-25,4.158101528024852,4.110873864173311
8,4.10670644569334,4.09194992285084,2020-03-26,4.110873864173311,4.182660643270669
9,4.15401920110085,4.15270014644205,2020-03-27,4.182660643270669,4.0444537926086355
10,4.05310192103849,4.03269673397483,2020-03-30,4.0444537926086355,3.9804290380922063
11,3.96067767449014,3.94011961441666,2020-03-31,3.9804290380922063,4.044103345785354
12,4.00522910445552,3.99182076480619,2020-04-01,4.044103345785354,3.9300593679142444
13,3.92796551522613,3.90663005783085,2020-04-02,3.9300593679142444,3.845883202923601
14,3.83454903276587,3.80818478872649,2020-04-03,3.845883202923601,3.81198165124792
15,3.78821721687349,3.76644803491938,2020-04-06,3.81198165124792,3.8437441646748516
16,3.80764975449042,3.789026640116,2020-04-07,3.8437441646748516,3.769306703226551
17,3.76350065712429,3.7411074272691,2020-04-08,3.769306703226551,3.7297814454343623
18,3.72489299739868,3.68561203588711,2020-04-09,3.7297814454343623,3.7177098357818132
19,3.67203400419504,3.66744310005715,2020-04-13,3.7177098357818132,3.6312503412773
20,3.62051191313594,3.59660717169189,2020-04-14,3.6312503412773,3.7096619932964647
21,3.67457648852401,3.66704713034407,2020-04-15,3.7096619932964647,3.6916256797819615
22,3.68220246863116,3.66828526810547,2020-04-16,3.6916256797819615,3.641525757730466
23,3.63294314728409,3.61525160306801,2020-04-17,3.641525757730466,3.780318514430718
24,3.74260916162529,3.74588197949539,2020-04-20,3.780318514430718,3.8157323451098595
25,3.80068704570826,3.79552021512628,2020-04-21,3.8157323451098595,3.7371933143924867
26,3.7423987552081,3.7270856118511,2020-04-22,3.7371933143924867,3.722797672317397
27,3.71662460746288,3.70174123958968,2020-04-23,3.722797672317397,3.581572601125427
28,3.586864042759,3.55934074196585,2020-04-24,3.581572601125427,3.5052570515869337
29,3.48956342654973,3.46214432556514,2020-04-27,3.5052570515869337,3.5136328109919437
30,3.49203443148561,3.47510422073607,2020-04-28,3.5136328109919437,3.441379171294987
31,3.4286623535697,3.40979275947521,2020-04-29,3.441379171294987,3.530762586016799
32,3.50042682010282,3.48878754442839,2020-04-30,3.530762586016799,3.6160399079369787
33,3.59860520562412,3.59965457431639,2020-05-01,3.6160399079369787,3.5826852577075323
34,3.57864021532503,3.57284879887581,2020-05-04,3.5826852577075323,3.5148236417370144
35,3.51362274593806,3.49705212498895,2020-05-05,3.5148236417370144,3.5298837226234783
36,3.51851174656882,3.50938207985409,2020-05-06,3.5298837226234783,3.448080967561006
37,3.44749522511563,3.43572938346818,2020-05-07,3.448080967561006,3.331489969237335
38,3.32966667454445,3.3073699421459,2020-05-08,3.331489969237335,3.3167282250357055
39,3.30311344273438,3.28903030291564,2020-05-11,3.3167282250357055,3.497718948652777
40,3.46199257593175,3.45765589508495,2020-05-12,3.497718948652777,3.5633162311385904
41,3.54885697921146,3.54704758932573,2020-05-13,3.5633162311385904,3.484618989801228
42,3.49847586662996,3.48865961376538,2020-05-14,3.484618989801228,3.4622924810219664
43,3.45933198999867,3.45141876781983,2020-05-15,3.4622924810219664,3.3775875160230218
44,3.37759849395576,3.36266630368124,2020-05-18,3.3775875160230218,3.4187098067467865
45,3.40561565360526,3.39870227313524,2020-05-19,3.4187098067467865,3.331847303527362
46,3.33325172298067,3.32548017702647,2020-05-20,3.331847303527362,3.3854066957558313
47,3.36635196679121,3.36332889498966,2020-05-21,3.3854066957558313,3.3379025312898416
48,3.33543006280175,3.32858868364826,2020-05-22,3.3379025312898416,3.332561589272017
49,3.32357527901186,3.3168244843023,2020-05-26,3.332561589272017,3.318540147981146
50,3.31200180101458,3.30498378314604,2020-05-27,3.318540147981146,3.3530570063342204
51,3.34259334653573,3.33795959402255,2020-05-28,3.3530570063342204,3.3145495749364833
52,3.31540339014336,3.30764315804915,2020-05-29,3.3145495749364833,3.340385242265398
53,3.33059340782058,3.32695208227063,2020-06-01,3.340385242265398,3.289893312103481
54,3.29172881326732,3.28279414717767,2020-06-02,3.289893312103481,3.2449333591874905
55,3.24165585492872,3.23175729797041,2020-06-03,3.2449333591874905,3.2507620137305224
56,3.23946425728109,3.23323961670054,2020-06-04,3.2507620137305224,3.1994891110680106
57,3.19955536293417,3.189439100367,2020-06-05,3.1994891110680106,3.2507620137305224
58,3.23522350162369,3.23508565828435,2020-06-08,3.2507620137305224,3.3167282250357055
