,pred_1,pred_2,Date,log_vix,log_vix_true
0,3.02844000330229,3.0000852247093,2018-10-15,3.0587070727153796,2.8690346205080335
1,2.85055845354316,2.83557435534182,2018-10-16,2.8690346205080335,2.856470206220483
2,2.84245360637232,2.82985505680983,2018-10-17,2.856470206220483,2.9987277825337895
3,2.97502609731838,2.9528169612239,2018-10-18,2.9987277825337895,2.9902170928658807
4,2.96687784838008,2.94540541625258,2018-10-19,2.9902170928658807,2.97756830292632
5,2.9549412721429,2.93420284033831,2018-10-22,2.97756830292632,3.030616675407493
6,3.00363994917842,2.97838376874085,2018-10-23,3.030616675407493,3.2280337626529665
7,3.18805731352593,3.15049224803549,2018-10-24,3.2280337626529665,3.1871787381249463
8,3.14941265705696,3.11469506487339,2018-10-25,3.1871787381249463,3.184698373066614
9,3.14720761665008,3.11276656232065,2018-10-26,3.184698373066614,3.2068032436339315
10,3.16724568998309,3.13082974011028,2018-10-29,3.2068032436339315,3.150596984114906
11,3.11492082520967,3.08222727683695,2018-10-30,3.150596984114906,3.055415275715165
12,3.02496870808815,2.99786613979352,2018-10-31,3.055415275715165,2.9621754900251482
13,2.93978356787922,2.92033653927408,2018-11-01,2.9621754900251482,2.97092715463502
14,2.94995413322414,2.9308357094629,2018-11-02,2.97092715463502,2.993730270883318
15,2.97164803980405,2.9513644440353,2018-11-05,2.993730270883318,2.991222118076105
16,2.96927766982664,2.94917045685265,2018-11-06,2.991222118076105,2.794839331174601
17,2.78853729592845,2.78390857758865,2018-11-07,2.794839331174601,2.8166056076565553
18,2.8107162841302,2.80487451030301,2018-11-08,2.8166056076565553,2.854168709232204
19,2.84454633526741,2.83582624870167,2018-11-09,2.854168709232204,3.017982882488811
20,3.02779089931895,3.01675322799862,2018-11-12,3.017982882488811,2.9967317738870745
21,2.97453472530251,2.95437559411642,2018-11-13,2.9967317738870745,3.056356895370426
22,3.03409382387679,3.00800072138705,2018-11-14,3.056356895370426,2.9947317732204075
23,2.98309659002117,2.96674082584904,2018-11-15,2.9947317732204075,2.8981194446869907
24,2.89603028323572,2.89077605447843,2018-11-16,2.8981194446869907,3.0007198150650303
25,2.98793174495243,2.97581136027297,2018-11-19,3.0007198150650303,3.1126260250254902
26,3.09109172297436,3.0738430609809,2018-11-20,3.1126260250254902,3.0349529867072724
27,3.02172731301283,3.00912349444045,2018-11-21,3.0349529867072724,3.0689827352935835
28,3.051602397726,3.0351719771019,2018-11-23,3.0689827352935835,2.9391619220655967
29,2.92682908650183,2.91529871681007,2018-11-26,2.9391619220655967,2.9454910571172443
30,2.93257142416069,2.92131281691337,2018-11-27,2.9454910571172443,2.9172300453990334
31,2.90481282468987,2.89329755812881,2018-11-28,2.9172300453990334,2.933324813425374
32,2.91973999947519,2.90714043165649,2018-11-29,2.933324813425374,2.8942531046041373
33,2.88341564656472,2.87336981114803,2018-11-30,2.8942531046041373,2.799717389628034
34,2.7957051719283,2.79198874651526,2018-12-03,2.799717389628034,3.032064202801381
35,3.01103389070403,2.99154021777668,2018-12-04,3.032064202801381,3.0535293722802077
36,3.03086273768163,3.00986093184991,2018-12-06,3.0535293722802077,3.145444546782318
37,3.1171856511424,3.09092480988876,2018-12-07,3.145444546782318,3.119718253334982
38,3.09640221160028,3.07450267243194,2018-12-10,3.119718253334982,3.080073421987742
39,3.05732482013398,3.03614168312652,2018-12-11,3.080073421987742,3.0661907372025525
40,3.04756622631664,3.03043352198425,2018-12-12,3.0661907372025525,3.027715319407042
41,3.00979384660718,2.99303101100335,2018-12-13,3.027715319407042,3.0740812399649675
42,3.05274289427058,3.03280943823797,2018-12-14,3.0740812399649675,3.1994891110680106
43,3.17141935923469,3.14510465824617,2018-12-17,3.1994891110680106,3.2418107961506966
44,3.21233358047075,3.18463130798447,2018-12-18,3.2418107961506966,3.2418107961506966
45,3.21280634953729,3.18552709547006,2018-12-19,3.2418107961506966,3.3456846717318967
46,3.30889935483845,3.28432186302808,2018-12-20,3.3456846717318967,3.4048573424936426
47,3.37305914035181,3.34282577928612,2018-12-21,3.4048573424936426,3.5854614949154477
48,3.55310475827283,3.52201770267914,2018-12-24,3.5854614949154477,3.4147715016892732
49,3.38398877463907,3.35467125161427,2018-12-26,3.4147715016892732,3.3998631586490187
50,3.37046023866022,3.34243107005642,2018-12-27,3.3998631586490187,3.3442742342625342
51,3.31680683297339,3.29066088609859,2018-12-28,3.3442742342625342,3.2355362657613083
52,3.22062335408009,3.20039040533629,2018-12-31,3.2355362657613083,3.1450139762697455
53,3.12608574045886,3.10813368921258,2019-01-02,3.1450139762697455,3.2367157429965316
54,3.2141903356961,3.19277126585832,2019-01-03,3.2367157429965316,3.062455905596899
55,3.05991010005664,3.04596430879823,2019-01-04,3.062455905596899,3.0633909220278057
56,3.04993282349336,3.03711546485045,2019-01-07,3.0633909220278057,3.018960399673198
57,3.00841333149435,2.99550414355683,2019-01-08,3.018960399673198,2.9947317732204075
58,2.9839016331194,2.97361512594087,2019-01-09,2.9947317732204075,2.970414465569701
