	date	ar
0	2020-03-16	4.094513845526091
1	2020-03-17	4.453550883222579
2	2020-03-18	4.386526381835077
3	2020-03-19	4.451074047954743
4	2020-03-20	4.3120312726064505
5	2020-03-23	4.231605383048553
6	2020-03-24	4.124219831682334
7	2020-03-25	4.115574903304798
8	2020-03-26	4.161033571993392
9	2020-03-27	4.130098415902275
10	2020-03-30	4.184493651486944
11	2020-03-31	4.070211890849759
12	2020-04-01	3.980624028691379
13	2020-04-02	4.016449569556328
14	2020-04-03	3.9482651972071623
15	2020-04-06	3.8516969356232202
16	2020-04-07	3.7880938478070396
17	2020-04-08	3.8211588620011048
18	2020-04-09	3.7744418925395795
19	2020-04-13	3.727619449835071
20	2020-04-14	3.7018941367227383
21	2020-04-15	3.630337403791772
22	2020-04-16	3.6837658051474502
23	2020-04-17	3.688042640568283
24	2020-04-20	3.6540438076850155
25	2020-04-21	3.7496956287816703
26	2020-04-22	3.817358177586322
27	2020-04-23	3.7697896589745796
28	2020-04-24	3.721021320988931
29	2020-04-27	3.5826498457974956
30	2020-04-28	3.4926458017757698
31	2020-04-29	3.480567035284311
32	2020-04-30	3.4348291948141676
33	2020-05-01	3.5094936805369117
34	2020-05-04	3.6037392515459
35	2020-05-05	3.6099128230803563
36	2020-05-06	3.527384250807912
37	2020-05-07	3.5082283031185173
38	2020-05-08	3.4477095154587643
39	2020-05-11	3.335152111135839
40	2020-05-12	3.286247146455234
41	2020-05-13	3.4550947883183785
42	2020-05-14	3.577312195012436
43	2020-05-15	3.5263260526292695
44	2020-05-18	3.4615570396229502
45	2020-05-19	3.372532339412679
46	2020-05-20	3.404682250379248
47	2020-05-21	3.3363852214340333
48	2020-05-22	3.377479913097325
49	2020-05-26	3.33814215161098
50	2020-05-27	3.338513902093499
51	2020-05-28	3.313415725534252
52	2020-05-29	3.348547145219753
53	2020-06-01	3.323096540507418
54	2020-06-02	3.3387578413737953
55	2020-06-03	3.2953062029791136
56	2020-06-04	3.2511634344767493
57	2020-06-05	3.2406213410101508
58	2020-06-08	3.20444726713546
