,pred_1,pred_2,Date,log_vix,log_vix_true
0,4.41511899332638,4.41513120718586,2020-03-16,4.415098675734075,4.3295484280286765
1,4.3295576829095,4.32956591009125,2020-03-17,4.3295484280286765,4.336636932375072
2,4.33664552876484,4.33665294513096,2020-03-18,4.336636932375072,4.276666119016055
3,4.28573132055695,4.2771051996443,2020-03-19,4.276666119016055,4.190260619051927
4,4.19033760893437,4.17143259156516,2020-03-20,4.190260619051927,4.120499519698952
5,4.08437255112591,4.08066243702228,2020-03-23,4.120499519698952,4.1217975890034015
6,4.11265648445618,4.06851403217626,2020-03-24,4.1217975890034015,4.158101528024852
7,4.11310864194671,4.12197413808722,2020-03-25,4.158101528024852,4.110873864173311
8,4.11649518035905,4.07574562515376,2020-03-26,4.110873864173311,4.182660643270669
9,4.1450095482737,4.14659376681833,2020-03-27,4.182660643270669,4.0444537926086355
10,4.0539128181743,4.02614448932283,2020-03-30,4.0444537926086355,3.9804290380922063
11,3.96089965983286,3.93540563213956,2020-03-31,3.9804290380922063,4.044103345785354
12,4.00980965088751,3.99967037858681,2020-04-01,4.044103345785354,3.9300593679142444
13,3.92618945887773,3.90653225097985,2020-04-02,3.9300593679142444,3.845883202923601
14,3.84852275464554,3.82056999262036,2020-04-03,3.845883202923601,3.81198165124792
15,3.77282053880685,3.75537911332925,2020-04-06,3.81198165124792,3.8437441646748516
16,3.82722264644724,3.80235844443463,2020-04-07,3.8437441646748516,3.769306703226551
17,3.74736900150211,3.74158947371899,2020-04-08,3.769306703226551,3.7297814454343623
18,3.72821844758619,3.70041495596782,2020-04-09,3.7297814454343623,3.7177098357818132
19,3.69408618438277,3.6754177678312,2020-04-13,3.7177098357818132,3.6312503412773
20,3.62193611784612,3.59566441614153,2020-04-14,3.6312503412773,3.7096619932964647
21,3.67134740895646,3.6623444257142,2020-04-15,3.7096619932964647,3.6916256797819615
22,3.67279770854784,3.66476228526639,2020-04-16,3.6916256797819615,3.641525757730466
23,3.63418492855467,3.61725731072171,2020-04-17,3.641525757730466,3.780318514430718
24,3.73961455453154,3.74230622166324,2020-04-20,3.780318514430718,3.8157323451098595
25,3.80760638911429,3.80330488652576,2020-04-21,3.8157323451098595,3.7371933143924867
26,3.75720183328616,3.72824385210635,2020-04-22,3.7371933143924867,3.722797672317397
27,3.70970644502475,3.70420232559038,2020-04-23,3.722797672317397,3.581572601125427
28,3.57628535621042,3.55162435844965,2020-04-24,3.581572601125427,3.5052570515869337
29,3.48925518013224,3.46245399939748,2020-04-27,3.5052570515869337,3.5136328109919437
30,3.48613964091677,3.47990256089474,2020-04-28,3.5136328109919437,3.441379171294987
31,3.43571403321763,3.42453391714499,2020-04-29,3.441379171294987,3.530762586016799
32,3.50607089132661,3.48565422574359,2020-04-30,3.530762586016799,3.6160399079369787
33,3.59570534047055,3.59619476388767,2020-05-01,3.6160399079369787,3.5826852577075323
34,3.60382068938377,3.58881853915411,2020-05-04,3.5826852577075323,3.5148236417370144
35,3.51651730305222,3.49783116845105,2020-05-05,3.5148236417370144,3.5298837226234783
36,3.51392296999042,3.50592460846937,2020-05-06,3.5298837226234783,3.448080967561006
37,3.44977338633281,3.43380293617431,2020-05-07,3.448080967561006,3.331489969237335
38,3.33383995445263,3.31589915623305,2020-05-08,3.331489969237335,3.3167282250357055
39,3.28920000532668,3.2698173451855,2020-05-11,3.3167282250357055,3.497718948652777
40,3.47591016892509,3.45852614575464,2020-05-12,3.497718948652777,3.5633162311385904
41,3.5382371517944,3.56047240757411,2020-05-13,3.5633162311385904,3.484618989801228
42,3.49617906465402,3.48759931593636,2020-05-14,3.484618989801228,3.4622924810219664
43,3.46145665007191,3.44643937113049,2020-05-15,3.4622924810219664,3.3775875160230218
44,3.38114492159114,3.36635240348266,2020-05-18,3.3775875160230218,3.4187098067467865
45,3.3993984043558,3.3937383521687,2020-05-19,3.4187098067467865,3.331847303527362
46,3.33314612766559,3.32240842581097,2020-05-20,3.331847303527362,3.3854066957558313
47,3.36486677744901,3.36104042448061,2020-05-21,3.3854066957558313,3.3379025312898416
48,3.32273584742718,3.33149056951006,2020-05-22,3.3379025312898416,3.332561589272017
49,3.34296688423877,3.31399856721272,2020-05-26,3.332561589272017,3.318540147981146
50,3.30825614465757,3.31087617779574,2020-05-27,3.318540147981146,3.3530570063342204
51,3.34075626753568,3.33699532266931,2020-05-28,3.3530570063342204,3.3145495749364833
52,3.31287992993501,3.30738595670922,2020-05-29,3.3145495749364833,3.340385242265398
53,3.32917433684244,3.32536492651401,2020-06-01,3.340385242265398,3.289893312103481
54,3.28971170915305,3.28311720975332,2020-06-02,3.289893312103481,3.2449333591874905
55,3.24371800335718,3.23636745414429,2020-06-03,3.2449333591874905,3.2507620137305224
56,3.24113484256864,3.23590511733397,2020-06-04,3.2507620137305224,3.1994891110680106
57,3.19692369658691,3.18861923110434,2020-06-05,3.1994891110680106,3.2507620137305224
58,3.23463745766887,3.23380706347195,2020-06-08,3.2507620137305224,3.3167282250357055
