	Dates	1m	3m	6m	1Y
2678	2019-09-18	0.020836825063066278	0.029334762689661894	0.03395806522773522	0.03714585694060477
2679	2019-09-19	0.017390531492008178	0.026794719291923643	0.03201091892350116	0.03567405463766096
2680	2019-09-20	0.02018767456671698	0.02879387268649741	0.033475658614316645	0.037254383393563725
2681	2019-09-23	0.021756066709569706	0.030117340575183334	0.03428924290779738	0.03797181051793844
2682	2019-09-24	0.02846810542849027	0.033568478571479834	0.03726972171222154	0.03943089486327938
2683	2019-09-25	0.02443252768273825	0.031205297117314217	0.03502661193800712	0.038255200380950254
2684	2019-09-26	0.023573813102925997	0.031401685272040285	0.035227100027356524	0.03834418406581947
2685	2019-09-27	0.03150702859295145	0.036533482580120506	0.03939381476133145	0.04125097589223785
2686	2019-09-30	0.0266598176158997	0.032334558957072254	0.03609109909805137	0.039011193519764474
2687	2019-10-01	0.033056352677141965	0.03529878027874162	0.03879764665980684	0.040682937467627495
2688	2019-10-02	0.04008947656856303	0.03962386258185701	0.04156151996973602	0.04229577549063451
2689	2019-10-03	0.03754711271623007	0.03883207769829674	0.04169908559972513	0.04250869499044902
2690	2019-10-04	0.028214238717780456	0.033721976500222094	0.037357525345955996	0.039845973345433515
2691	2019-10-07	0.02995639565927279	0.033898932873706995	0.03750486736294753	0.039914290579708314
2692	2019-10-08	0.04041905184934862	0.040386787189224345	0.04254509713266173	0.04327841538146149
2693	2019-10-09	0.03257398616670026	0.035302384331331864	0.03907761548510744	0.04094584981485068
2694	2019-10-10	0.029950848378584142	0.034293191878371536	0.03796807317153527	0.04006209480355488
2695	2019-10-11	0.022221269831222606	0.028959182996763606	0.03377713007123781	0.036372298716170946
2696	2019-10-14	0.020949335794330916	0.02870116989462423	0.03367779707274959	0.03675917522098947
2697	2019-10-15	0.016549944668869433	0.025310519325887817	0.031069027777887948	0.03421843658738748
2698	2019-10-16	0.01760005637152621	0.025604082203586273	0.031498463242388496	0.035192369780702996
2699	2019-10-17	0.018357282104178176	0.025777261766566008	0.03136845004645581	0.035185582874704954
2700	2019-10-18	0.018418731500441977	0.026607952496807617	0.03152055493708235	0.03710361677939665
2701	2019-10-21	0.01875814901641389	0.025342529583433148	0.031170114504859778	0.03676560241010319
2702	2019-10-22	0.01912295350097218	0.02575896430347198	0.031074890253731963	0.03630615897022127
2703	2019-10-23	0.019477108414938594	0.0261633349766554	0.031262098844826725	0.037133163035936854
2704	2019-10-24	0.017560096887747064	0.02485857075876753	0.030645744226332802	0.03616813016843929
2705	2019-10-25	0.015255822067098104	0.02380757006801404	0.02950607336339436	0.0356645004499538
2706	2019-10-28	0.016727364615350387	0.02473443952265898	0.030179547031550145	0.035439596802549655
2707	2019-10-29	0.016872878325494185	0.024633673982909884	0.03048345201640107	0.03552301758735709
2708	2019-10-30	0.014588351836330919	0.024454670936407803	0.02986097750544166	0.03513536600940715
2709	2019-10-31	0.017325957496064397	0.025188894067934522	0.03116101185225672	0.03602726773434019
2710	2019-11-01	0.013984997232381226	0.02231550075412785	0.028879449149796163	0.034530631763536046
2711	2019-11-04	0.01502323036487186	0.02363719743442842	0.029989552405929213	0.034891798493705224
2712	2019-11-05	0.01594361149562938	0.024145789445559417	0.030210853357559388	0.035319195407038095
2713	2019-11-06	0.015442404326552016	0.0243581662945014	0.030687665144855925	0.03603961778875905
2714	2019-11-07	0.015268270118622449	0.02457912121012046	0.030982827768759068	0.03624734809701821
2715	2019-11-08	0.013169343126004901	0.023364001625449726	0.030181043740253145	0.03559802534286034
2716	2019-11-11	0.015124852330975515	0.023623744137273306	0.030377546719051688	0.03578646616148117
2717	2019-11-12	0.016076708164666113	0.02410076859027093	0.030595006026831382	0.03592802888978703
2718	2019-11-13	0.01598563113383465	0.023714906248867688	0.030107160548872972	0.03537194679577542
2719	2019-11-14	0.01573573247182338	0.02363969520416607	0.030225000942534407	0.03590982329904782
2720	2019-11-15	0.013405880754597534	0.02171924127545887	0.028803442953139507	0.0346121164888072
2721	2019-11-18	0.0147951645342989	0.0222602154863387	0.02895451503683906	0.03513913072661727
2722	2019-11-19	0.014666507115481888	0.022693733756537167	0.02927562629667721	0.034773313521789535
2723	2019-11-20	0.015577876358693449	0.0236868045692301	0.030479441656512247	0.03628896309296332
2724	2019-11-21	0.015776858071025756	0.023631568394885453	0.03069094681071485	0.03657736702005236
2725	2019-11-22	0.014975406238198803	0.023444727399097372	0.030818543731261933	0.03665035088528514
2726	2019-11-25	0.013225884667077026	0.021477997957438103	0.028843946851584857	0.034803072820783924
2727	2019-11-26	0.013304684228403852	0.02126082431102955	0.028368688759456844	0.034361682899159356
2728	2019-11-27	0.0130551206175885	0.021572784434916316	0.028706946278894183	0.03430045476468728
2729	2019-11-29	0.014626510924313675	0.02274154014053686	0.029354967159509505	0.03469598197057087
2730	2019-12-02	0.018948912801571363	0.0257867463354274	0.031113978789375704	0.0359646056930813
2731	2019-12-03	0.02578273446984693	0.03064743833819858	0.03453898803394557	0.03819740596681204
2732	2019-12-04	0.020541151167079254	0.027473765354916562	0.031687656712611346	0.03594938688862424
2733	2019-12-05	0.020608160878735682	0.02794470919306803	0.032245123246145244	0.036614631069040976
2734	2019-12-06	0.017327861633657567	0.025863088304303915	0.030751948465085593	0.03568983369446268
2735	2019-12-09	0.02305489026896325	0.028644310742144023	0.03277724489374962	0.036998512828683064
2736	2019-12-10	0.025006948515261196	0.029428098046808644	0.03346336258755611	0.03735303294857546
2737	2019-12-11	0.021274607420761003	0.027294881417000583	0.03191610797582048	0.03596639665358974
2738	2019-12-12	0.017470076317610453	0.02478307583811228	0.029946936943397343	0.0347902980577806
2739	2019-12-13	0.014164926657792927	0.022893414545120932	0.028541974533157488	0.033760757615047536
2740	2019-12-16	0.013792579491194848	0.02196785420633748	0.027394110496733404	0.03286588269132751
2741	2019-12-17	0.013351619356942691	0.021392716452235148	0.027273017425846133	0.03236500305340343
2742	2019-12-18	0.014328682427765572	0.022122482862456175	0.028035087715500298	0.03279509469889676
2743	2019-12-19	0.013760442258335859	0.02195248146598246	0.02766283656976427	0.03245736086603676
2744	2019-12-20	0.013045835652952307	0.02127195327449058	0.026910676790968573	0.03189802560362566
2745	2019-12-23	0.0147250594023101	0.02293745100456342	0.028338360675464757	0.03296640770418998
2746	2019-12-24	0.014203406496926817	0.02233535149075773	0.027488172992085724	0.03229449176464127
2747	2019-12-26	0.014116714817031672	0.022746477119209862	0.027714581839100024	0.032489837928723675
2748	2019-12-27	0.01515580260402504	0.023299960399190116	0.02793029676146271	0.03239221509984375
2749	2019-12-30	0.020233955398762247	0.02592533178935344	0.029758238229760654	0.03373184739483684
2750	2019-12-31	0.018620920281828875	0.024460712065097742	0.028898451451989528	0.03312880067613626
2751	2020-01-02	0.014433622222692288	0.021729034947110582	0.026437384283245685	0.031321608754664096
2752	2020-01-03	0.01836188074061699	0.02464374985179472	0.0288185615696009	0.03304013944754984
2753	2020-01-06	0.017679543813671855	0.023778064023752994	0.02801861833156511	0.03209021197825517
2754	2020-01-07	0.018369507655788958	0.023842230069134617	0.02819900199662269	0.03209242610453818
2755	2020-01-08	0.01574784729484532	0.021950756457218334	0.026515644810555558	0.030680980571061164
2756	2020-01-09	0.015033334887233298	0.021343211729679967	0.02598899593882024	0.02994600850054378
2757	2020-01-10	0.013475020608345293	0.02062047325845205	0.025493200481349496	0.02958347824858196
