,pred_1,pred_2,Date,log_vix,log_vix_true
0,2.63074359052343,2.63631514402681,2015-08-18,2.6239436918052106,2.7245795030534206
1,2.71781657933777,2.71191575006324,2015-08-19,2.7245795030534206,2.9517803860248084
2,2.91248803402793,2.87868130131982,2015-08-20,2.9517803860248084,3.333275365176697
3,3.29910361580124,3.19796017753733,2015-08-21,3.333275365176697,3.70721041079866
4,3.7269463240768,3.66001638611006,2015-08-24,3.70721041079866,3.58407433974781
5,3.4441900380609,3.34237656112862,2015-08-25,3.58407433974781,3.411807560774171
6,3.30246898720851,3.21471746504915,2015-08-26,3.411807560774171,3.261935314328648
7,3.14509395493861,3.05275092829544,2015-08-27,3.261935314328648,3.260017768199376
8,3.20355305569796,3.13435800223697,2015-08-28,3.260017768199376,3.3474449256629084
9,3.31176660023563,3.24364419918464,2015-08-31,3.3474449256629084,3.4468078929142076
10,3.40891351285226,3.33566111004189,2015-09-01,3.4468078929142076,3.261552099148637
11,3.15424880988813,3.10128846218247,2015-09-02,3.261552099148637,3.242982900211434
12,3.20663257476612,3.15253174196364,2015-09-03,3.242982900211434,3.3250360206965914
13,3.29395861754294,3.23273339427053,2015-09-04,3.3250360206965914,3.214867803470662
14,3.13603975577139,3.08862675245556,2015-09-08,3.214867803470662,3.2669037938787824
15,3.24554517583672,3.19240893565656,2015-09-09,3.2669037938787824,3.193352867637115
16,3.13014094153709,3.08696356117477,2015-09-10,3.193352867637115,3.1441522786722644
17,3.10448731752648,3.06524027046901,2015-09-11,3.1441522786722644,3.188416617383492
18,3.16500555989172,3.12122363028175,2015-09-14,3.188416617383492,3.11529150861163
19,3.06196363752128,3.02725026252571,2015-09-15,3.11529150861163,3.0610517396746335
20,3.02635942790417,2.99559310373382,2015-09-16,3.0610517396746335,3.051166980442092
21,3.02497933510174,2.99480596109826,2015-09-17,3.051166980442092,3.1036894150590832
22,3.08837233231536,3.05349510705082,2015-09-18,3.1036894150590832,3.0027078872904163
23,2.95226809243808,2.92960619656627,2015-09-21,3.0027078872904163,3.110845080654496
24,3.11389747544275,3.07838563841901,2015-09-22,3.110845080654496,3.0969341540629585
25,3.05882052493986,3.0284846526519,2015-09-23,3.0969341540629585,3.1557230098629323
26,3.14161056517666,3.10594235536363,2015-09-24,3.1557230098629323,3.1620938107692163
27,3.13032923837204,3.09656123843071,2015-09-25,3.1620938107692163,3.318902138935325
28,3.31777196507731,3.27396731726218,2015-09-28,3.318902138935325,3.2895206644375325
29,3.24099392092168,3.20243309377739,2015-09-29,3.2895206644375325,3.1986731175506815
30,3.15294598908963,3.12047119183088,2015-09-30,3.1986731175506815,3.1157350659486873
31,3.07725685194453,3.05061035258456,2015-10-01,3.1157350659486873,3.041661205442391
32,3.0092746633637,2.98791810315807,2015-10-02,3.041661205442391,2.972463646614637
33,2.94523481982856,2.92909707789267,2015-10-05,2.972463646614637,2.9652730660692823
34,2.95249070364213,2.93602797288511,2015-10-06,2.9652730660692823,2.91235066461494
35,2.88941057019721,2.87830152729697,2015-10-07,2.91235066461494,2.857618971424357
36,2.84144307145765,2.8345529400673,2015-10-08,2.857618971424357,2.837908188360424
37,2.83056514904178,2.82478056104969,2015-10-09,2.837908188360424,2.783157673589016
38,2.76979297795408,2.7692802767634,2015-10-12,2.783157673589016,2.871868286331605
39,2.88766826918985,2.87691566770398,2015-10-13,2.871868286331605,2.8920370372152258
40,2.88198289315855,2.87179708631654,2015-10-14,2.8920370372152258,2.775708849576025
41,2.74779827464559,2.74936413736911,2015-10-15,2.775708849576025,2.711377991194885
42,2.70686881727692,2.71212211819466,2015-10-16,2.711377991194885,2.7067159780890733
43,2.71188686890371,2.7166060399449,2015-10-19,2.7067159780890733,2.7568403652716422
44,2.7697882031711,2.76940942743513,2015-10-20,2.7568403652716422,2.8154087194227095
45,2.82355562302125,2.81848377157002,2015-10-21,2.8154087194227095,2.670694414558441
46,2.63769123563628,2.64949182834468,2015-10-22,2.670694414558441,2.671386216730619
47,2.68900186041843,2.69616786039909,2015-10-23,2.671386216730619,2.727199019940971
48,2.74123284039465,2.74374769903326,2015-10-26,2.727199019940971,2.7363136663750693
49,2.7379551886613,2.74076998711978,2015-10-27,2.7363136663750693,2.6623552418400807
50,2.65177570875056,2.66235354006039,2015-10-28,2.6623552418400807,2.681706225762608
51,2.69754741830413,2.70393614230685,2015-10-29,2.681706225762608,2.712706012638404
52,2.7218086050807,2.7260365082722,2015-10-30,2.712706012638404,2.649714624089247
53,2.64114482047731,2.65263794738031,2015-11-02,2.649714624089247,2.6769034721053733
54,2.69457147033043,2.70118606240015,2015-11-03,2.6769034721053733,2.7414849771884473
55,2.75641044796831,2.75744666821754,2015-11-04,2.7414849771884473,2.711377991194885
56,2.7045189904884,2.71032647725701,2015-11-05,2.711377991194885,2.6623552418400807
57,2.66065542863656,2.67040336273656,2015-11-06,2.6623552418400807,2.804571768092832
58,2.83891974121492,2.8239727520488,2015-11-09,2.804571768092832,2.727199019940971
