	zhu	true	date
0	4.199260181661523	4.415098675734075	2020-03-16
1	4.357283434163546	4.3295484280286765	2020-03-17
2	4.42744764608828	4.336636932375072	2020-03-18
3	4.367101080459401	4.276666119016055	2020-03-19
4	4.31972651051961	4.190260619051927	2020-03-20
5	4.233032905137749	4.120499519698952	2020-03-23
6	4.136862216494181	4.1217975890034015	2020-03-24
7	4.116631006108766	4.158101528024852	2020-03-25
8	4.146793542625188	4.110873864173311	2020-03-26
9	4.1292199495643835	4.182660643270669	2020-03-27
10	4.165669218719482	4.0444537926086355	2020-03-30
11	4.082513575313582	3.9804290380922063	2020-03-31
12	3.9791140810205747	4.044103345785354	2020-04-01
13	4.00592375271136	3.9300593679142444	2020-04-02
14	3.950474289912545	3.845883202923601	2020-04-03
15	3.844191427793258	3.81198165124792	2020-04-06
16	3.790729065507625	3.8437441646748516	2020-04-07
17	3.795788003846407	3.769306703226551	2020-04-08
18	3.7729637659895388	3.7297814454343623	2020-04-09
19	3.717671302812528	3.7177098357818132	2020-04-13
20	3.695161988540529	3.6312503412773	2020-04-14
21	3.635219662314811	3.7096619932964647	2020-04-15
22	3.662256917169842	3.6916256797819615	2020-04-16
23	3.693178110070067	3.641525757730466	2020-04-17
24	3.648522527117712	3.780318514430718	2020-04-20
25	3.7290689170666487	3.8157323451098595	2020-04-21
26	3.8183432470345937	3.7371933143924867	2020-04-22
27	3.7756346776906975	3.722797672317397	2020-04-23
28	3.7197834963477474	3.581572601125427	2020-04-24
29	3.6231137361972525	3.5052570515869337	2020-04-27
30	3.5034957612047943	3.5136328109919437	2020-04-28
31	3.484720941115196	3.441379171294987	2020-04-29
32	3.4482659678999044	3.530762586016799	2020-04-30
33	3.4881408830570404	3.6160399079369787	2020-05-01
34	3.6056021861013137	3.5826852577075323	2020-05-04
35	3.594776443106866	3.5148236417370144	2020-05-05
36	3.5275936823176886	3.5298837226234783	2020-05-06
37	3.5191023651969524	3.448080967561006	2020-05-07
38	3.463373689655413	3.331489969237335	2020-05-08
39	3.3519612648678203	3.3167282250357055	2020-05-11
40	3.3088913241174063	3.497718948652777	2020-05-12
41	3.44626764455068	3.5633162311385904	2020-05-13
42	3.5628245393591853	3.484618989801228	2020-05-14
43	3.51122947254019	3.4622924810219664	2020-05-15
44	3.4615784125357605	3.3775875160230218	2020-05-18
45	3.3969022142162677	3.4187098067467865	2020-05-19
46	3.400841581236674	3.331847303527362	2020-05-20
47	3.3591638749161046	3.3854066957558313	2020-05-21
48	3.3594073735821426	3.3379025312898416	2020-05-22
49	3.3561885265841567	3.332561589272017	2020-05-26
50	3.3294863601325697	3.318540147981146	2020-05-27
51	3.3203913789715003	3.3530570063342204	2020-05-28
52	3.3387674841291983	3.3145495749364833	2020-05-29
53	3.327003704147105	3.340385242265398	2020-06-01
54	3.330152646934625	3.289893312103481	2020-06-02
55	3.3070547404778545	3.2449333591874905	2020-06-03
56	3.2506515496453403	3.2507620137305224	2020-06-04
57	3.240973030363271	3.1994891110680106	2020-06-05
58	3.2122698459044874	3.2507620137305224	2020-06-08
